person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_to_income,stability_index,person_gender,loan_status
58,81897.10697396415,3,1.0,1,1,18362.470438037944,14.801218163518053,0.2242139083603471,0,16,0.22421390836034713,0.023809523809523808,Male,1
48,40669.00136531888,2,0.0,3,1,16896.59976743746,8.90619778770822,0.4154663060363782,0,19,0.41546630603637824,0.0,Male,1
34,51969.25634148405,2,16.0,1,2,9538.482259269427,9.149062571189203,0.1835408649412482,1,16,0.18354086494124813,0.8888888888888888,Male,1
62,72414.74889633303,0,15.0,2,2,7911.596988548652,11.34528786210277,0.1092539449370276,0,23,0.10925394493702764,0.32608695652173914,Male,0
27,36473.91590566748,3,9.0,5,0,17795.5562654406,9.747029432584364,0.4878981547104857,1,9,0.4878981547104857,0.8181818181818182,Female,1
40,69264.89974773089,0,17.0,2,1,12757.697596275906,8.379574728174525,0.1841870506236291,0,21,0.18418705062362914,0.7083333333333334,Female,0
58,15000.0,0,16.0,2,2,9129.26116615626,16.5243163435504,0.6086174110770839,0,28,0.608617411077084,0.38095238095238093,Male,1
38,61019.73315142626,0,20.0,5,2,500.0,15.262885102213678,0.0081940705764674,0,8,0.008194070576467493,0.9090909090909091,Female,0
42,81444.84333039305,0,9.0,0,4,6222.502758164469,8.12026324559097,0.0764014332119464,0,24,0.07640143321194648,0.34615384615384615,Female,1
30,38391.6630556394,1,12.0,4,1,5874.859616151961,11.66096711295702,0.1530243586384309,0,12,0.1530243586384309,0.8571428571428571,Male,1
30,72377.63240596798,2,12.0,0,0,9268.096866564323,6.40411605908143,0.1280519486266051,0,12,0.12805194862660516,0.8571428571428571,Female,0
43,86678.45304387566,0,15.0,1,1,13092.591683773251,16.10369493313606,0.1510478235824759,0,18,0.1510478235824759,0.5555555555555556,Female,0
55,44903.16323891962,3,5.0,0,0,13856.266121611185,13.280425046499056,0.3085810691751294,1,20,0.30858106917512945,0.1282051282051282,Male,1
59,43249.43428300278,2,2.0,3,1,17500.17842644655,14.01097380311618,0.4046336955978218,0,3,0.40463369559782186,0.046511627906976744,Female,1
43,32034.12508335392,0,20.0,0,1,14656.979188351088,10.24537115847336,0.457542672079013,0,13,0.457542672079013,0.7407407407407407,Male,0
22,39805.39689629733,0,4.0,0,2,3497.6604258950783,14.52409139684098,0.0878690001510932,0,4,0.08786900015109328,0.6666666666666666,Female,0
41,33692.80219454759,3,17.0,4,1,15150.037897702128,14.532053305187496,0.4496520595177392,0,6,0.44965205951773923,0.68,Female,1
21,32017.778031455455,1,3.0,3,4,18666.6235263668,10.506053910884596,0.583008087195433,0,3,0.583008087195433,0.6,Male,1
43,73976.70593422712,3,25.0,0,1,18419.04038510301,7.55298819300343,0.2489843276000884,1,13,0.2489843276000884,0.9259259259259259,Female,0
